7356 20
very	1.309	0.535	3.748	-5.497	-5.840	2.533	-3.505	-0.392	-0.659	-1.916	2.290	-1.550	1.462	1.222	-2.808	-0.368	1.336	0.502	-2.663	1.971
day	-3.284	-1.735	-6.436	1.262	-3.464	3.534	-1.712	1.172	3.756	-3.511	1.821	5.456	-2.014	-5.202	1.437	2.220	0.319	3.219	-0.127	-3.894
work	-0.639	3.844	1.634	-0.036	-1.248	-1.899	-0.406	-0.673	1.141	-2.230	1.312	-0.997	-5.155	3.510	-4.857	-0.643	2.775	3.072	-3.634	3.992
life	-2.192	3.500	1.178	2.358	-0.882	-2.241	-1.277	0.280	4.864	-3.179	2.730	-1.562	-1.005	-1.234	-4.641	3.965	1.510	3.631	-2.085	2.136
century	-0.594	-4.909	-2.018	4.822	0.570	4.946	5.410	6.563	-5.239	-7.951	-0.128	-3.399	-0.892	-2.227	-2.274	-0.654	-2.699	10.480	-3.340	4.742
x	6.720	-0.766	-0.216	1.556	7.126	1.781	-0.755	-1.298	-1.283	3.194	2.345	2.378	4.309	-0.642	6.680	-0.350	8.712	-2.085	-4.407	1.802
early	-2.990	-1.388	-1.994	0.670	-1.485	-0.835	3.610	2.512	-2.980	-5.192	1.915	0.054	0.814	1.168	-3.071	-0.374	-2.873	5.802	-3.006	2.471
now	-1.229	-0.226	0.863	-1.209	-2.824	2.892	-2.314	1.958	-1.452	0.199	1.212	3.890	-1.069	-0.051	-0.847	-1.516	1.439	2.222	1.257	2.106
same	0.949	-3.416	0.048	-0.999	-3.544	0.240	-1.680	1.180	1.769	2.827	0.717	0.706	1.395	-0.654	1.754	-0.527	2.325	0.791	-3.884	2.709
much	-0.347	-0.175	3.861	-4.019	-4.207	1.509	-4.271	2.545	-0.590	-1.591	2.077	-1.303	1.612	1.765	-4.778	-0.588	1.161	2.782	-2.547	1.911
even	-0.081	-2.373	4.392	-4.381	-4.417	-0.110	-3.667	2.619	2.199	-0.156	1.978	-0.593	0.798	1.568	-0.608	-0.651	-0.759	1.477	-3.045	2.205
each	-0.943	-4.328	-0.058	-3.096	-4.324	0.816	-2.062	2.745	1.980	2.556	-3.683	0.178	1.670	0.954	6.068	1.899	6.091	-0.458	-2.936	2.487
including	-5.222	-2.383	1.248	0.293	-2.520	-3.029	1.617	-0.787	-1.521	-2.019	-2.469	0.585	3.039	3.544	0.154	-0.400	-2.442	0.986	1.040	0.583
could	1.006	-0.085	4.801	-6.055	-2.952	-2.658	-3.484	4.585	1.715	3.094	3.148	1.665	-1.780	-0.356	-0.430	-1.176	2.166	0.140	-2.724	2.550
language	4.460	-3.859	8.320	5.248	-2.160	2.176	-2.284	-5.576	-4.911	-0.438	-1.954	1.106	-2.074	3.499	2.370	-4.793	2.598	8.253	0.934	-1.088
although	-1.299	-3.047	2.689	-1.938	-4.034	0.895	-2.264	2.595	0.453	-0.697	1.336	-0.290	0.766	0.464	0.213	-3.256	-2.406	1.967	-2.805	2.217
example	3.146	-3.044	3.022	0.301	-2.478	-0.903	-1.750	-2.929	0.119	1.558	0.171	-2.167	1.354	1.072	2.878	-1.322	2.656	-0.905	-1.689	1.627
before	-2.384	-1.198	-2.302	-4.597	-1.423	-0.266	-0.531	5.591	2.791	0.423	3.079	3.770	-2.550	-1.953	-1.011	-0.057	0.553	2.284	-3.543	0.843
